episode,score,total_reward,epsilon,steps,avg_loss,merge_rate,max_level_merges
296,2339,707,0.37424242424242427,192,3.8552919421344995,81.25,0
297,4190,1199,0.3721212121212123,295,4.029428073915384,89.83050847457628,1
298,5246,1445,0.3700000000000001,354,3.850639279279332,90.3954802259887,1
299,3238,810,0.3678787878787879,243,3.7807326130415677,86.41975308641975,0
300,1987,547,0.36575757575757584,158,3.5817388975167574,79.74683544303798,0
301,2902,699,0.36363636363636365,207,3.731164944920563,86.47342995169082,0
302,3852,1007,0.3615151515151517,274,3.7417742214063656,87.95620437956204,0
303,3079,825,0.3593939393939395,219,3.8654855157686696,88.12785388127854,0
304,2874,810,0.3572727272727274,229,3.5883737537017555,85.1528384279476,0
305,4468,1206,0.3551515151515152,317,3.851440993017203,92.11356466876973,1
306,3026,792,0.353030303030303,224,3.7900099493563175,84.375,0
307,2511,683,0.35090909090909106,193,3.5834596620322507,81.86528497409327,0
308,2853,741,0.34878787878787887,203,3.9667772395270213,87.192118226601,0
309,3500,970,0.3466666666666668,261,3.713328933350428,88.88888888888889,0
310,3052,804,0.3445454545454546,226,3.614943362442793,85.39823008849558,0
311,2708,727,0.3424242424242424,208,3.5596507667348933,84.13461538461539,0
312,2382,644,0.34030303030303044,178,3.60603145200215,79.21348314606742,0
313,3091,856,0.33818181818181825,218,3.6341217357084292,85.77981651376146,0
314,2971,815,0.33606060606060617,221,3.843582075106073,85.52036199095022,0
315,4387,1207,0.333939393939394,305,3.9323626311098945,91.47540983606557,0
316,3098,932,0.3318181818181819,240,3.63343616972367,86.66666666666667,0
317,2860,821,0.3296969696969698,220,3.8550501270727677,87.27272727272727,0
318,3749,1080,0.32757575757575763,275,3.781907420158386,88.72727272727273,0
319,2972,723,0.32545454545454555,215,3.6894486682359564,88.83720930232558,0
320,2635,729,0.32333333333333336,194,3.7768647885814155,85.05154639175258,0
321,3157,925,0.3212121212121213,242,4.104732825736369,85.12396694214877,0
322,4401,1139,0.3190909090909092,300,3.6771808592478434,91.0,1
323,2696,688,0.316969696969697,197,3.7437406899360233,79.69543147208121,0
324,3344,938,0.31484848484848493,250,3.8197685656547544,86.8,0
325,3357,944,0.31272727272727274,249,3.686666089846906,86.74698795180723,0
326,3831,1067,0.31060606060606066,267,3.6481264597467717,88.38951310861424,0
327,3599,983,0.3084848484848486,252,3.5894156401119535,88.88888888888889,0
328,2312,662,0.3063636363636364,183,3.7484547277617324,79.78142076502732,0
329,3443,944,0.3042424242424243,262,3.690446098797194,86.25954198473282,0
330,1580,551,0.3021212121212121,144,3.810537296036879,75.69444444444444,0
331,2122,577,0.3,166,3.5346277614673935,80.12048192771084,0
332,3168,840,0.2993939393939394,233,3.761605052988928,87.55364806866953,0
333,3473,1015,0.29878787878787877,254,3.7153845673470984,87.79527559055119,0
334,3679,1014,0.29818181818181816,272,3.6387022812576855,90.07352941176471,0
335,4635,1144,0.29757575757575755,304,3.6390710080924786,91.77631578947368,0
336,4045,1056,0.29696969696969694,283,3.9206658513301673,88.33922261484098,0
337,2346,604,0.29636363636363633,164,3.646199741741506,85.97560975609755,0
338,2523,713,0.2957575757575757,196,3.6048676511462854,83.6734693877551,0
339,3281,850,0.2951515151515151,234,3.731675046121972,89.74358974358975,0
340,3935,971,0.29454545454545455,271,3.6109955293226066,87.4538745387454,1
341,4525,1264,0.29393939393939394,319,3.7339281662130803,89.34169278996865,1
